child_num,hex_id,dns_mapping,notes
0,6kgrunw3nwza,2.6.6.6.6.6.6.6.6.6.0.5.1.2.3.20.h3.vichex.ca.,
1,6kgru5w3nwza,2.6.6.6.6.6.6.6.6.6.1.5.1.2.3.20.h3.vichex.ca.,
2,6kgrvnw3nwza,2.6.6.6.6.6.6.6.6.6.2.5.1.2.3.20.h3.vichex.ca.,
3,6kgrv5w3nwza,2.6.6.6.6.6.6.6.6.6.3.5.1.2.3.20.h3.vichex.ca.,
4,6kgrwnw3nwza,2.6.6.6.6.6.6.6.6.6.4.5.1.2.3.20.h3.vichex.ca.,
5,6kgrw5w3nwza,2.6.6.6.6.6.6.6.6.6.5.5.1.2.3.20.h3.vichex.ca.,
6,6kgrxnw3nwza,2.6.6.6.6.6.6.6.6.6.6.5.1.2.3.20.h3.vichex.ca.,
7,6kgrunw3nwzq,3.6.6.6.6.6.6.6.6.6.0.5.1.2.3.20.h3.vichex.ca.,
8,6kgru5w3nwzq,3.6.6.6.6.6.6.6.6.6.1.5.1.2.3.20.h3.vichex.ca.,
9,6kgrvnw3nwzq,3.6.6.6.6.6.6.6.6.6.2.5.1.2.3.20.h3.vichex.ca.,
10,6kgrv5w3nwzq,3.6.6.6.6.6.6.6.6.6.3.5.1.2.3.20.h3.vichex.ca.,
11,6kgrwnw3nwzq,3.6.6.6.6.6.6.6.6.6.4.5.1.2.3.20.h3.vichex.ca.,
12,6kgrw5w3nwzq,3.6.6.6.6.6.6.6.6.6.5.5.1.2.3.20.h3.vichex.ca.,
13,6kgrxnw3nwzq,3.6.6.6.6.6.6.6.6.6.6.5.1.2.3.20.h3.vichex.ca.,
14,6kgrunw3nw2a,4.6.6.6.6.6.6.6.6.6.0.5.1.2.3.20.h3.vichex.ca.,
15,6kgru5w3nw2a,4.6.6.6.6.6.6.6.6.6.1.5.1.2.3.20.h3.vichex.ca.,
16,6kgrvnw3nw2a,4.6.6.6.6.6.6.6.6.6.2.5.1.2.3.20.h3.vichex.ca.,
17,6kgrv5w3nw2a,4.6.6.6.6.6.6.6.6.6.3.5.1.2.3.20.h3.vichex.ca.,
18,6kgrwnw3nw2a,4.6.6.6.6.6.6.6.6.6.4.5.1.2.3.20.h3.vichex.ca.,
19,6kgrw5w3nw2a,4.6.6.6.6.6.6.6.6.6.5.5.1.2.3.20.h3.vichex.ca.,
20,6kgrxnw3nw2a,4.6.6.6.6.6.6.6.6.6.6.5.1.2.3.20.h3.vichex.ca.,
